name,image_filepath,original_image_url,party,state,chamber,district
Bob Kressig,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=781,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=781,Democratic,ia,House,59
Brad Zaun,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=788,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=788,Republican,ia,Senate,20
Dan Zumbach,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10733,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10733,Republican,ia,Senate,48
Mary Mascher,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=46,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=46,Democratic,ia,House,86
Mike Sexton,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=1153,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=1153,Republican,ia,House,10
Liz Bennett,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14806,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14806,Democratic,ia,House,65
Tom Moore,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=17112,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=17112,Republican,ia,House,21
Cindy Winckler,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=44,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=44,Democratic,ia,House,90
Marti Anderson,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10736,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10736,Democratic,ia,House,36
Roby Smith,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9386,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9386,Republican,ia,Senate,47
Jeff Edler,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18076,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18076,Republican,ia,Senate,36
Herman C. Quirmbach,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=161,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=161,Democratic,ia,Senate,23
Jerry Behn,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=140,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=140,Republican,ia,Senate,24
Michael R. Bergan,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18044,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18044,Republican,ia,House,55
Tim Kraayenbrink,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14812,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14812,Republican,ia,Senate,5
Jon Jacobsen,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=22321,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=22321,Republican,ia,House,22
Skyler Wheeler,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18040,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18040,Republican,ia,House,4
David Sieck,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=15920,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=15920,Republican,ia,House,23
John H. Wills,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=13794,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=13794,Republican,ia,House,1
David E. Maxwell,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10757,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10757,Republican,ia,House,76
